"Age","Population","Prevalence1","Prevalence1L","Prevalence1H","Deaths1","Prevalence2","Prevalence2L","Prevalence2H","Deaths2","Location"
"10-19",50463,7.26,4.29,11.4,0,34.2,28.1,40.7,0,6
"20-29",50463,7.26,4.29,11.4,1,35,28.9,41.5,3,6
"30-39",50463,6.41,3.63,10.4,3,32.1,26.1,38.4,6,6
"40-49",50463,8.12,4.96,12.4,12,35.5,29.3,42,31,6
"50-59",50463,3.42,1.49,6.63,27,38.5,32.2,45,93,6
"60-69",50463,5.56,2.99,9.31,123,38,31.8,44.6,373,6
"70-79",50463,10.3,6.68,14.9,438,34.6,28.5,41.1,1375,6
"80+",50463,8.12,4.96,12.4,1297,31.6,25.7,38,4409,6
"0-9",25042,6.9,3.02,13.1,0,34.5,25.9,43.9,0,7
"10-19",25042,9.48,4.83,16.3,0,32.8,24.3,42.1,0,7
"20-29",25042,10.3,5.46,17.4,0,38.8,29.9,48.3,0,7
"30-39",25042,3.45,0.947,8.59,1,33.6,25.1,43,1,7
"40-49",25042,6.9,3.02,13.1,3,35.3,26.7,44.8,10,7
"50-59",25042,7.76,3.61,14.2,7,31.9,23.6,41.2,45,7
"60-69",25042,5.17,1.92,10.9,47,34.5,25.9,43.9,167,7
"70-79",25042,6.9,3.02,13.1,156,33.6,25.1,43,531,7
"80+",25042,6.03,2.46,12,478,30.2,22,39.4,1746,7
"0-9",89544,9.29,5.84,13.9,2,35.8,29.6,42.5,2,8
"10-19",89544,14.6,10.3,19.9,0,33.6,27.5,40.2,0,8
"20-29",89544,13.7,9.51,18.9,5,27.9,22.1,34.2,8,8
"30-39",89544,13.7,9.51,18.9,13,33.2,27.1,39.7,23,8
"40-49",89544,15.5,11,20.9,60,22.6,17.3,28.6,91,8
"50-59",89544,8.41,5.14,12.8,193,25.2,19.7,31.4,299,8
"60-69",89544,11.9,8.02,16.9,626,33.2,27.1,39.7,1026,8
"70-79",89544,13.3,9.14,18.4,2136,33.2,27.1,39.7,3548,8
"80+",89544,11.5,7.65,16.4,5324,31.9,25.8,38.4,9598,8
"0-9",690772,8.22,3.08,17,0,32.9,22.3,44.9,2,9
"10-19",690772,5.48,1.51,13.4,1,41.1,29.7,53.2,1,9
"20-29",690772,6.85,2.26,15.3,7,39.7,28.5,51.9,12,9
"30-39",690772,6.85,2.26,15.3,16,42.5,31,54.6,47,9
"40-49",690772,2.74,0.334,9.55,92,37,26,49.1,223,9
"50-59",690772,5.48,1.51,13.4,312,38.4,27.2,50.5,783,9
"60-69",690772,9.59,3.94,18.8,1205,34.2,23.5,46.3,2888,9
"70-79",690772,5.48,1.51,13.4,4117,31.5,21.1,43.4,10038,9
"80+",690772,11,4.85,20.5,13922,34.2,23.5,46.3,34944,9
"0-9",912180,9.45,4.98,15.9,1,20.5,13.8,28.5,2,10
"10-19",912180,15,9.25,22.4,1,25.2,17.9,33.7,1,10
"20-29",912180,18.1,11.8,25.9,14,21.3,14.5,29.4,19,10
"30-39",912180,9.45,4.98,15.9,58,27.6,20,36.2,74,10
"40-49",912180,13.4,8,20.6,197,26.8,19.3,35.4,243,10
"50-59",912180,9.45,4.98,15.9,763,29.9,22.1,38.7,1031,10
"60-69",912180,15.7,9.89,23.3,2669,22.8,15.9,31.1,3583,10
"70-79",912180,13.4,8,20.6,9413,31.5,23.5,40.3,12749,10
"80+",912180,10.2,5.56,16.9,30456,25.2,17.9,33.7,42574,10
"0-9",213296,14.2,9.87,19.6,0,33.5,27.3,40.2,0,11
"10-19",213296,9.17,5.69,13.8,0,36.2,29.9,43,0,11
"20-29",213296,16.5,11.8,22.1,0,35.8,29.4,42.5,0,11
"30-39",213296,11.9,7.94,17,1,40.8,34.2,47.7,7,11
"40-49",213296,11.5,7.56,16.5,14,37.2,30.7,43.9,22,11
"50-59",213296,14.7,10.3,20.1,54,33,26.8,39.7,85,11
"60-69",213296,16.5,11.8,22.1,181,35.3,29,42.1,310,11
"70-79",213296,16.1,11.4,21.6,677,39.9,33.4,46.7,1150,11
"80+",213296,15.6,11,21.1,2504,37.2,30.7,43.9,4267,11
"0-9",1063230,3.57,0.435,12.3,0,32.1,20.3,46,0,12
"10-19",1063230,5.36,1.12,14.9,1,41.1,28.1,55,2,12
"20-29",1063230,7.14,1.98,17.3,3,35.7,23.4,49.6,11,12
"30-39",1063230,1.79,0.0452,9.55,9,33.9,21.8,47.8,25,12
"40-49",1063230,3.57,0.435,12.3,48,37.5,24.9,51.5,121,12
"50-59",1063230,5.36,1.12,14.9,112,32.1,20.3,46,364,12
"60-69",1063230,10.7,4.03,21.9,454,39.3,26.5,53.2,1454,12
"70-79",1063230,5.36,1.12,14.9,1569,28.6,17.3,42.2,5090,12
"80+",1063230,8.93,2.96,19.6,5893,35.7,23.4,49.6,19223,12
